iter	Passed	Remaining
0	80	80177
1	157	78357
2	231	76889
3	296	73831
4	354	70498
5	418	69293
6	490	69603
7	563	69869
8	635	69942
9	705	69852
10	768	69120
11	829	68333
12	900	68377
13	975	68696
14	1049	68886
15	1118	68763
16	1186	68607
17	1247	68076
18	1304	67370
19	1360	66656
20	1427	66540
21	1486	66063
22	1543	65567
23	1608	65392
24	1670	65143
25	1740	65212
26	1810	65237
27	1880	65290
28	1940	64977
29	2008	64931
30	2065	64552
31	2122	64215
32	2188	64140
33	2251	63960
34	2307	63612
35	2375	63620
36	2439	63488
37	2497	63231
38	2549	62815
39	2626	63024
40	2686	62847
41	2761	62988
42	2819	62755
43	2883	62643
44	2951	62647
45	3022	62674
46	3085	62566
47	3156	62604
48	3204	62187
49	3271	62163
50	3321	61801
51	3377	61575
52	3441	61492
53	3487	61097
54	3534	60736
55	3589	60512
56	3653	60442
57	3698	60060
58	3725	59414
59	3791	59402
60	3849	59262
61	3914	59225
62	3979	59194
63	4035	59024
64	4082	58731
65	4141	58603
66	4208	58611
67	4275	58593
68	4350	58701
69	4422	58762
70	4480	58621
71	4533	58433
72	4587	58250
73	4653	58230
74	4720	58221
75	4789	58226
76	4838	57995
77	4886	57762
78	4933	57517
79	4997	57476
80	5053	57336
81	5113	57251
82	5178	57215
83	5237	57109
84	5303	57089
85	5372	57097
86	5427	56959
87	5482	56818
88	5537	56681
89	5604	56672
90	5672	56658
91	5734	56594
92	5790	56475
93	5836	56256
94	5893	56141
95	5959	56120
96	6023	56072
97	6088	56036
98	6148	55959
99	6212	55908
100	6278	55883
101	6346	55873
102	6412	55844
103	6479	55821
104	6531	55672
105	6578	55484
106	6646	55469
107	6709	55415
108	6775	55386
109	6832	55284
110	6895	55229
111	6959	55179
112	7014	55062
113	7081	55036
114	7144	54982
115	7213	54973
116	7279	54941
117	7347	54922
118	7411	54872
119	7478	54844
120	7535	54738
121	7602	54713
122	7658	54605
123	7734	54639
124	7805	54636
125	7876	54632
126	7950	54649
127	7999	54493
128	8066	54466
129	8109	54274
130	8179	54256
131	8235	54156
132	8291	54049
133	8350	53967
134	8408	53876
135	8465	53778
136	8529	53730
137	8587	53640
138	8652	53595
139	8710	53508
140	8768	53416
141	8829	53351
142	8899	53331
143	8956	53243
144	9023	53207
145	9080	53113
146	9137	53020
147	9187	52890
148	9255	52862
149	9319	52813
150	9368	52672
151	9428	52603
152	9494	52561
153	9542	52420
154	9591	52287
155	9631	52106
156	9700	52085
157	9777	52105
158	9843	52063
159	9914	52051
160	9978	51999
161	10033	51900
162	10083	51778
163	10146	51719
164	10212	51682
165	10280	51648
166	10341	51583
167	10394	51477
168	10450	51386
169	10501	51270
170	10554	51165
171	10618	51116
172	10683	51071
173	10720	50889
174	10778	50810
175	10843	50768
176	10919	50772
177	10983	50720
178	11047	50670
179	11107	50601
180	11174	50564
181	11218	50422
182	11281	50365
183	11359	50376
184	11427	50343
185	11490	50285
186	11552	50223
187	11608	50137
188	11673	50089
189	11730	50007
190	11771	49861
191	11822	49753
192	11885	49695
193	11938	49599
194	12020	49624
195	12078	49548
196	12152	49535
197	12225	49518
198	12300	49510
199	12382	49529
200	12461	49534
201	12539	49535
202	12604	49486
203	12679	49474
204	12750	49446
205	12806	49361
206	12844	49205
207	12890	49081
208	12943	48986
209	13006	48928
210	13070	48873
211	13124	48784
212	13181	48703
213	13244	48645
214	13290	48526
215	13345	48437
216	13407	48378
217	13462	48290
218	13521	48219
219	13592	48190
220	13659	48149
221	13713	48058
222	13767	47968
223	13831	47916
224	13877	47801
225	13946	47762
226	14002	47684
227	14080	47677
228	14134	47587
229	14189	47503
230	14245	47422
231	14292	47312
232	14360	47273
233	14415	47189
234	14468	47100
235	14526	47025
236	14590	46974
237	14654	46917
238	14700	46808
239	14747	46699
240	14810	46644
241	14868	46573
242	14930	46510
243	14974	46397
244	15038	46344
245	15105	46297
246	15168	46241
247	15225	46167
248	15288	46110
249	15356	46070
250	15414	45996
251	15469	45918
252	15536	45872
253	15604	45831
254	15665	45769
255	15730	45717
256	15788	45645
257	15831	45531
258	15895	45478
259	15953	45404
260	16002	45309
261	16066	45256
262	16123	45181
263	16178	45104
264	16224	45001
265	16272	44901
266	16331	44835
267	16401	44799
268	16458	44726
269	16506	44628
270	16567	44568
271	16625	44496
272	16679	44418
273	16738	44350
274	16810	44319
275	16882	44287
276	16952	44248
277	17002	44158
278	17064	44097
279	17128	44045
280	17198	44004
281	17249	43919
282	17303	43839
283	17361	43771
284	17419	43702
285	17474	43624
286	17538	43571
287	17584	43473
288	17631	43377
289	17697	43328
290	17765	43283
291	17812	43188
292	17876	43135
293	17940	43080
294	18007	43034
295	18074	42986
296	18119	42889
297	18173	42811
298	18239	42762
299	18304	42710
300	18361	42640
301	18421	42576
302	18481	42514
303	18546	42461
304	18600	42385
305	18657	42314
306	18703	42220
307	18769	42171
308	18824	42097
309	18880	42023
310	18938	41956
311	18992	41881
312	19054	41821
313	19105	41739
314	19159	41665
315	19218	41600
316	19283	41547
317	19341	41479
318	19390	41394
319	19452	41337
320	19500	41248
321	19555	41176
322	19619	41122
323	19675	41050
324	19740	40999
325	19798	40932
326	19852	40857
327	19917	40806
328	19978	40747
329	20037	40682
330	20083	40591
331	20133	40509
332	20191	40443
333	20248	40375
334	20306	40309
335	20364	40244
336	20413	40160
337	20469	40091
338	20532	40036
339	20625	40037
340	20724	40050
341	20807	40032
342	20870	39976
343	20918	39891
344	21015	39899
345	21107	39896
346	21173	39846
347	21264	39841
348	21311	39752
349	21358	39666
350	21417	39600
351	21473	39530
352	21539	39479
353	21587	39394
354	21654	39343
355	21701	39257
356	21759	39190
357	21821	39132
358	21886	39079
359	21951	39024
360	21999	38941
361	22066	38890
362	22109	38798
363	22156	38712
364	22214	38646
365	22278	38591
366	22334	38522
367	22401	38472
368	22451	38392
369	22520	38345
370	22586	38293
371	22677	38283
372	22726	38202
373	22782	38132
374	22829	38049
375	22874	37961
376	22931	37894
377	23001	37849
378	23058	37782
379	23123	37728
380	23189	37674
381	23250	37614
382	23303	37540
383	23360	37474
384	23417	37407
385	23475	37341
386	23565	37328
387	23654	37309
388	23704	37232
389	23761	37165
390	23807	37081
391	23854	36998
392	23918	36942
393	23975	36876
394	24025	36798
395	24121	36790
396	24169	36711
397	24215	36627
398	24280	36572
399	24336	36505
400	24391	36435
401	24458	36383
402	24512	36313
403	24572	36250
404	24617	36166
405	24674	36100
406	24736	36041
407	24825	36022
408	24882	35955
409	24940	35889
410	25009	35840
411	25063	35770
412	25121	35704
413	25167	35623
414	25225	35558
415	25318	35543
416	25375	35477
417	25434	35413
418	25487	35342
419	25534	35261
420	25591	35195
421	25647	35128
422	25738	35108
423	25794	35041
424	25861	34989
425	25920	34925
426	25969	34849
427	26026	34782
428	26090	34726
429	26152	34667
430	26218	34613
431	26267	34536
432	26322	34468
433	26389	34415
434	26459	34367
435	26526	34314
436	26591	34258
437	26674	34226
438	26739	34171
439	26786	34091
440	26840	34022
441	26893	33951
442	26952	33888
443	27011	33825
444	27058	33746
445	27115	33680
446	27170	33613
447	27233	33554
448	27297	33498
449	27367	33449
450	27405	33360
451	27499	33340
452	27567	33287
453	27618	33215
454	27675	33150
455	27729	33080
456	27783	33012
457	27837	32943
458	27902	32887
459	27951	32812
460	28002	32740
461	28059	32674
462	28106	32599
463	28165	32535
464	28211	32458
465	28261	32384
466	28306	32307
467	28374	32254
468	28423	32180
469	28473	32108
470	28528	32042
471	28584	31975
472	28639	31908
473	28702	31851
474	28750	31777
475	28802	31707
476	28864	31648
477	28927	31589
478	28984	31525
479	29035	31455
480	29076	31373
481	29132	31308
482	29194	31249
483	29248	31181
484	29337	31151
485	29393	31086
486	29442	31014
487	29511	30963
488	29561	30891
489	29622	30831
490	29689	30778
491	29753	30720
492	29821	30668
493	29879	30604
494	29942	30547
495	29999	30482
496	30062	30425
497	30126	30368
498	30174	30295
499	30229	30229
500	30286	30165
501	30341	30099
502	30405	30042
503	30466	29982
504	30510	29906
505	30573	29848
506	30630	29784
507	30687	29721
508	30744	29656
509	30790	29582
510	30845	29517
511	30899	29450
512	30946	29378
513	31004	29315
514	31067	29258
515	31125	29195
516	31173	29123
517	31236	29065
518	31285	28994
519	31339	28928
520	31393	28863
521	31429	28780
522	31504	28733
523	31558	28667
524	31649	28635
525	31706	28571
526	31774	28518
527	31828	28453
528	31881	28386
529	31937	28321
530	32018	28279
531	32096	28234
532	32158	28176
533	32233	28129
534	32285	28061
535	32344	27999
536	32409	27943
537	32468	27882
538	32526	27819
539	32594	27765
540	32655	27705
541	32721	27650
542	32783	27591
543	32827	27516
544	32884	27454
545	32940	27390
546	33004	27332
547	33059	27268
548	33122	27210
549	33192	27157
550	33241	27087
551	33304	27029
552	33348	26956
553	33397	26886
554	33460	26828
555	33510	26760
556	33575	26703
557	33631	26640
558	33699	26585
559	33754	26521
560	33802	26451
561	33904	26423
562	33960	26359
563	34018	26298
564	34075	26235
565	34142	26179
566	34248	26154
567	34303	26090
568	34363	26029
569	34420	25966
570	34483	25908
571	34539	25844
572	34608	25790
573	34670	25731
574	34731	25671
575	34778	25600
576	34833	25536
577	34889	25472
578	34954	25415
579	35009	25351
580	35072	25293
581	35132	25232
582	35191	25171
583	35284	25134
584	35345	25074
585	35401	25010
586	35458	24947
587	35510	24881
588	35566	24817
589	35630	24760
590	35696	24703
591	35761	24646
592	35816	24582
593	35870	24517
594	35925	24453
595	35972	24383
596	36080	24355
597	36143	24297
598	36200	24234
599	36268	24179
600	36325	24116
601	36427	24083
602	36490	24024
603	36538	23955
604	36603	23898
605	36660	23835
606	36725	23777
607	36778	23712
608	36865	23668
609	36918	23603
610	36972	23539
611	37036	23480
612	37094	23418
613	37153	23357
614	37200	23287
615	37245	23218
616	37302	23155
617	37360	23093
618	37426	23036
619	37480	22972
620	37546	22914
621	37592	22845
622	37651	22784
623	37717	22727
624	37781	22669
625	37826	22599
626	37892	22542
627	37948	22478
628	38005	22416
629	38063	22354
630	38116	22289
631	38164	22222
632	38222	22160
633	38281	22099
634	38337	22036
635	38384	21968
636	38432	21901
637	38489	21839
638	38548	21777
639	38594	21709
640	38650	21646
641	38697	21578
642	38745	21512
643	38792	21444
644	38850	21382
645	38906	21320
646	38965	21259
647	39010	21190
648	39067	21128
649	39135	21073
650	39190	21009
651	39243	20945
652	39298	20882
653	39356	20821
654	39400	20753
655	39445	20684
656	39509	20626
657	39566	20564
658	39621	20502
659	39678	20440
660	39745	20384
661	39801	20321
662	39863	20262
663	39906	20193
664	39962	20131
665	40018	20069
666	40080	20010
667	40159	19959
668	40224	19901
669	40282	19840
670	40347	19782
671	40401	19719
672	40460	19659
673	40523	19600
674	40582	19539
675	40645	19481
676	40713	19424
677	40768	19362
678	40815	19295
679	40872	19233
680	40920	19168
681	40987	19111
682	41092	19072
683	41157	19014
684	41213	18952
685	41297	18903
686	41353	18840
687	41399	18774
688	41456	18712
689	41502	18646
690	41562	18585
691	41614	18522
692	41668	18459
693	41734	18401
694	41801	18344
695	41857	18282
696	41911	18219
697	42017	18179
698	42082	18121
699	42156	18067
700	42201	18000
701	42254	17937
702	42313	17876
703	42351	17806
704	42405	17744
705	42452	17678
706	42515	17619
707	42616	17576
708	42678	17516
709	42739	17456
710	42798	17396
711	42853	17333
712	42908	17271
713	42962	17209
714	43026	17150
715	43082	17088
716	43137	17026
717	43200	16967
718	43266	16909
719	43321	16847
720	43388	16789
721	43444	16727
722	43495	16664
723	43542	16599
724	43602	16539
725	43662	16478
726	43726	16420
727	43791	16361
728	43845	16299
729	43899	16236
730	43947	16172
731	44002	16110
732	44041	16042
733	44086	15976
734	44149	15918
735	44196	15853
736	44258	15793
737	44320	15734
738	44376	15673
739	44436	15612
740	44502	15554
741	44553	15491
742	44608	15429
743	44657	15366
744	44723	15308
745	44773	15244
746	44837	15185
747	44892	15124
748	44946	15062
749	45008	15002
750	45076	14945
751	45133	14884
752	45190	14823
753	45255	14765
754	45299	14699
755	45388	14649
756	45434	14584
757	45489	14523
758	45558	14465
759	45609	14403
760	45662	14340
761	45721	14280
762	45778	14219
763	45835	14158
764	45890	14097
765	45934	14032
766	45989	13970
767	46035	13906
768	46098	13847
769	46161	13788
770	46217	13727
771	46285	13669
772	46352	13611
773	46418	13553
774	46471	13491
775	46529	13431
776	46597	13373
777	46665	13315
778	46729	13257
779	46785	13195
780	46850	13137
781	46940	13085
782	46994	13024
783	47040	12960
784	47089	12897
785	47146	12836
786	47210	12777
787	47259	12714
788	47317	12654
789	47413	12603
790	47466	12541
791	47565	12492
792	47624	12431
793	47687	12372
794	47759	12315
795	47817	12254
796	47875	12194
797	47938	12134
798	47994	12073
799	48041	12010
800	48089	11947
801	48146	11886
802	48296	11848
803	48354	11787
804	48399	11724
805	48455	11662
806	48511	11601
807	48574	11542
808	48630	11481
809	48730	11430
810	48786	11369
811	48876	11316
812	48935	11255
813	48982	11192
814	49050	11134
815	49105	11072
816	49171	11014
817	49228	10952
818	49318	10899
819	49384	10840
820	49442	10779
821	49494	10717
822	49562	10659
823	49611	10596
824	49715	10545
825	49781	10486
826	49838	10425
827	49903	10366
828	49970	10307
829	50066	10254
830	50121	10193
831	50178	10132
832	50233	10070
833	50304	10012
834	50372	9953
835	50438	9894
836	50502	9834
837	50561	9774
838	50627	9715
839	50691	9655
840	50759	9596
841	50816	9535
842	50864	9473
843	50961	9419
844	51016	9358
845	51071	9296
846	51135	9236
847	51198	9177
848	51244	9114
849	51305	9053
850	51353	8991
851	51420	8932
852	51486	8872
853	51631	8827
854	51696	8767
855	51756	8706
856	51847	8651
857	51918	8592
858	51987	8533
859	52051	8473
860	52096	8410
861	52143	8347
862	52210	8288
863	52258	8225
864	52313	8164
865	52377	8104
866	52433	8043
867	52480	7980
868	52575	7925
869	52636	7865
870	52700	7805
871	52792	7749
872	52840	7686
873	52892	7625
874	52952	7564
875	53006	7503
876	53054	7440
877	53118	7380
878	53175	7319
879	53233	7259
880	53286	7197
881	53369	7140
882	53434	7080
883	53530	7024
884	53588	6963
885	53676	6906
886	53736	6845
887	53795	6785
888	53861	6725
